time,vsched,vroll
86.5,2.902799964,3.879911637
86.6,2.762799931,3.652205957
86.7,2.622799897,3.419268244
86.8,2.482799864,3.237096379
86.9,2.342799997,3.0655472
87,2.202799964,2.838763959
87.1,1.984399891,2.70314413
87.2,1.764399838,2.557496442
87.3,1.544399786,2.41085097
87.4,1.324399996,2.259794326
87.5,1.104399943,2.050154899
87.6,0.884399891,1.828604453
87.7,0.664399838,1.603417482
87.8,0.444399786,1.37058455
87.9,0.224399996,1.133254043
88,0.004399943,0.805642145
88.1,0,0.464143299
88.2,0,0.348317617
88.3,0,0.267736168
88.4,0,0.238040561
88.5,0,0.175667151
88.6,0,0.151721382
88.7,0,0.104754187
88.8,0,0.067062888
88.9,0,0.04341109
89,0,0.032903399
89.1,0,0.019719601
89.2,0,0.014103533
89.3,0,0.01098711
89.4,0,0
89.5,0,0
89.6,0,0
89.7,0,0
89.8,0,0
89.9,0,0
90,0,0
90.1,0,0
90.2,0,0
90.3,0,0
90.4,0,0
90.5,0,0
90.6,0,0
90.7,0,0
90.8,0,0
90.9,0,0
91,0,0
91.1,0,0
91.2,0,0
91.3,0,0
91.4,0,0
91.5,0,0
91.6,0,0
91.7,0,0
